Year,ISO_Code,Countries,benua,Size of Government,Legal System & Property Rights,Sound Money,Freedom to Trade Internationally,Regulation
2017,AGO,Angola,Afrika,6.76,2.95,5.57,3.21,5.66
2017,ALB,Albania,Eropa,7.53,5.06,9.65,8.34,7.77
2017,ARE,United Arab Emirates,Asia + Australia,5.85,5.67,9.06,8.05,7.24
2017,ARG,Argentina,Amerika,5.71,3.98,6.47,6.55,5.65
2017,ARM,Armenia,Asia + Australia,7.4,5.86,9.48,8.2,7.54
2017,AUS,Australia,Asia + Australia,6.96,7.92,9.46,7.56,8.47
2017,AUT,Austria,Eropa,5.66,7.93,9.42,8.09,7.45
2017,AZE,Azerbaijan,Asia + Australia,4.84,5.49,6.85,7.29,7.22
2017,BDI,Burundi,Afrika,6.92,3.53,8.24,5.88,6.27
2017,BEL,Belgium,Eropa,4.86,7.07,9.48,8.16,7.99
2017,BEN,Benin,Afrika,7.06,4.18,6.69,6.08,6.4
2017,BFA,Burkina Faso,Afrika,5.73,4.26,6.97,6.49,6.87
2017,BGD,Bangladesh,Asia + Australia,8.15,3.14,6.98,5.95,6.67
2017,BGR,Bulgaria,Eropa,7.13,5.28,9.43,8.11,7.74
2017,BHR,Bahrain,Asia + Australia,6.97,5.22,9.36,7.42,7.81
2017,BHS,Bahamas,Amerika,8.1,6.52,6.88,6.54,8.22
2017,BIH,Bosnia and Herzegovina,Eropa,5.63,4.19,8.31,7.84,7.5
2017,BLR,Belarus,Eropa,6.12,5.33,7.44,6.78,7.5
2017,BLZ,Belize,Amerika,6.89,5.21,7.19,6.53,8.08
2017,BOL,Bolivia,Amerika,5.89,3.48,9.34,7.03,4.93
2017,BRA,Brazil,Amerika,5.65,4.53,9.42,7.13,4.41
2017,BRB,Barbados,Amerika,6.27,5.88,6.16,6.96,6.99
2017,BRN,Brunei Darussalam,Asia + Australia,3.33,5.31,8.77,7.16,8.52
2017,BTN,Bhutan,Asia + Australia,6.91,6.41,6.82,6.28,7.46
2017,BWA,Botswana,Afrika,6.37,5.88,9.26,7.44,7.9
2017,CAF,Central African Republic,Afrika,6.5,2.73,6.67,4.69,5.54
2017,CAN,Canada,Amerika,6.48,7.85,9.55,7.91,8.61
