Year,ISO_Code,Countries,Economic Freedom Summary Index,Rank,Quartile,Government consumption,Transfers and subsidies,Government investment,Top marginal income tax rate,Top marginal income and payroll tax rate,Top marginal tax rate,State ownership of assets,Size of Government,Judicial independence,Impartial courts,Protection of property rights,Military interference in rule of law and politics,Integrity of the legal system,Legal enforcement of contracts,Regulatory restrictions on the sale of real property,Reliability of police,Business costs of crime,Legal System & Property Rights,Money growth,Standard deviation of inflation,Inflation: Most recent year, Freedom to own foreign currency bank accounts,Sound Money,Revenue from trade taxes (% of trade sector),Mean tariff rate,Standard deviation of tariff rates,Tariffs,Non-tariff trade barriers,Compliance costs of importing and exporting,Regulatory trade barriers,Black market exchange rates,Foreign ownership/investment restrictions,Capital controls,Freedom of foreigners to visit,Controls of the movement of capital and people,Freedom to Trade Internationally,Ownership of banks,Private sector credit,Interest rate controls/negative real interest rates),Credit market regulations,Hiring regulations and minimum wage,Hiring and firing regulations,Centralized collective bargaining,Hours Regulations,Mandated cost of worker dismissal,Conscription,Labor market regulations,Administrative requirements,Regulatory Burden,Starting a business,Extra payments/bribes/favoritism,Licensing restrictions,Tax compliance,Business regulations,Regulation
2017,AGO,Angola,4.83,158,4,6.34,8.89,6,10,9,9.5,3.07,6.76,1.44,1.66,3.3,3.33,4.17,2.3,5.49,3.36,4.29,2.95,9.44,4.19,3.66,5,5.57,9.24,7.72,4.25,7.07,4.93,2.51,3.72,0,2.95,3.08,0.11,2.04,3.21,5,9.19,6,6.73,10,4.4,7.21,4,6.63,0,5.37,2.4,1.33,8.7,1.95,8.1,6.78,4.88,5.66
2017,ALB,Albania,7.67,30,1,8.08,7.34,8,9,7,8,6.22,7.53,2.48,3.1,4.57,8.33,4.17,4.39,6.62,6.82,6.22,5.06,9.25,9.74,9.6,10,9.65,9.64,9.28,8.1,9.01,6.01,9.41,7.71,10,6.31,5.38,8.3,6.66,8.34,10,9.15,10,9.72,5.57,5.37,6.4,8,6.3,10,6.94,6.27,6.67,9.72,4.05,6.03,7.18,6.65,7.77
2017,ARE,United Arab Emirates,7.17,61,2,4.09,8.7,2,10,10,10,4.45,5.85,7.16,6.52,7.41,8.33,6.67,5.83,9.91,8.33,8.89,5.67,9.22,7.41,9.61,10,9.06,10,9.04,6.29,8.44,6.97,8.3,7.64,10,7.6,5.38,5.31,6.1,8.05,5,8.4,,6.7,10,6.76,7.42,6,10,0,6.7,6.58,5.33,9.63,8.47,10,9.87,8.31,7.24
2017,ARG,Argentina,5.67,146,4,5.39,6.31,6,7,1,4,6.85,5.71,3.59,2.96,4.38,7.5,3.33,3.63,6.86,3.7,4.13,3.98,5.01,6.02,4.86,10,6.47,6.66,7.26,5.89,6.6,4.63,5.16,4.89,10,5.36,0.77,7.97,4.7,6.55,5,4.26,9,6.09,2.77,2.21,3.31,10,2.52,10,5.13,2.49,7.11,9.59,3.26,5.35,6.51,5.72,5.65
2017,ARM,Armenia,7.7,27,1,7.19,7.31,8,5,5,5,9.51,7.4,4.03,4.24,5.79,5.83,5,5.2,9.83,5.84,7.01,5.86,8.56,9.54,9.81,10,9.48,9,8.8,8.08,8.63,5.69,9.03,7.36,10,5.11,5.38,10,6.83,8.2,10,7.79,10,9.26,6.67,5.74,6.82,10,9.25,0,6.41,4.63,6.22,9.88,4.58,9.32,7.06,6.95,7.54
2017,AUS,Australia,8.07,9,1,4.54,6.84,10,6,5,5.5,7.92,6.96,8.68,5.69,8.16,10,9.17,6.03,8.17,8.62,6.79,7.92,8.95,9.27,9.61,10,9.46,8.71,9.5,8.31,8.84,6.67,8.42,7.55,10,6.85,4.62,0.11,3.86,7.56,10,8.91,10,9.64,8.9,3.75,5.75,10,7.93,10,7.72,3.82,9.56,9.91,7.24,8.94,8.82,8.05,8.47
2017,AUT,Austria,7.71,26,1,3.76,3.44,10,4,3,3.5,7.61,5.66,7.68,5.56,8.18,10,10,6.22,8.1,8.46,7.19,7.93,8.22,9.87,9.58,10,9.42,9,8.98,6.7,8.23,6.52,9.96,8.24,10,6.9,3.08,7.74,5.91,8.09,8,9.71,10,9.24,8.9,3.56,2.23,6,10,3,5.62,4.17,9.33,9.24,6.42,7.3,8.53,7.5,7.45
2017,AZE,Azerbaijan,6.34,116,3,6.86,7.94,0,9,4,6.5,2.89,4.84,5.68,5.86,6.32,5,5.83,7.25,9.86,6.17,7.28,5.49,9.19,5.79,7.42,5,6.85,9.04,8.2,6.69,7.98,5.96,8.21,7.09,10,6.23,4.62,1.44,4.09,7.29,5,10,9,8,8.33,6.14,7.24,6,8.5,1,6.2,6.07,6.22,9.87,5.35,9.02,8.22,7.46,7.22
2017,BDI,Burundi,6.17,124,4,7.47,10,7,8,5,6.5,3.63,6.92,2.09,2.99,3.38,1.1,,2.81,8.55,3.36,4.67,3.53,7.72,8.46,6.79,10,8.24,8.07,7.44,5.14,6.88,3.67,1.14,2.4,9.09,3.89,1.54,10,5.14,5.88,5,0,10,5,10,3.66,7.41,8,7.76,10,7.8,3.43,2.44,9.76,3.3,9.76,7.4,6.02,6.27
2017,BEL,Belgium,7.51,40,1,2.54,2.1,10,2,0,1,8.67,4.86,7.79,5.36,7.88,10,8.33,5.57,4.77,7.63,6.28,7.07,8.49,9.84,9.57,10,9.48,9,8.98,6.7,8.23,5.9,9.96,7.93,10,7.85,3.85,7.74,6.48,8.16,8,9.64,10,9.21,8.9,3.7,5.63,6,10,10,7.37,3.46,8.67,9.76,6.47,7.46,8.48,7.38,7.99
